2025-06-12 11:59:53,778 INFO    MainThread:16113 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_setup.py:_flush():70] Configure stats pid to 16113
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_setup.py:_flush():70] Loading settings from /Users/grace/.config/wandb/settings
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_setup.py:_flush():70] Loading settings from /Users/grace/Desktop/00OSU/AI 539 NLP/Final Project/CASTLE_1/CASTLE/wandb/settings
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/grace/Desktop/00OSU/AI 539 NLP/Final Project/CASTLE_1/CASTLE/wandb/run-20250612_115953-xddevy8w/logs/debug.log
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/grace/Desktop/00OSU/AI 539 NLP/Final Project/CASTLE_1/CASTLE/wandb/run-20250612_115953-xddevy8w/logs/debug-internal.log
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_init.py:init():852] calling init triggers
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'pretrain_epoch': 200, 'finetune_epoch': 50, 'dec_epoch': 6000, 'dims': [313, 70, 70, 500, 10], 'batch_size': 128, 'corrupt': 0.35, 'n_cluster': 19, 'alpha': 1, 'plot': False, 'pretrain_lr': 0.001, 'pretrain_momentum': 0.9, 'pretrain_step_size': 500, 'pretrain_gamma': 0.2, 'num_workers': 0, 'train_step_size': 100, 'train_gamma': 1, 'train_lr': 0.0001, 'train_momentum': 0.9, 'clusteralg': 'louvain', 'reduce_dim': 'pca', 'dec_lr': 0.005, 'dec_step_size': 2000, 'dec_gamma': 1, 'stopping_delta': 1e-07, '_wandb': {}}
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_init.py:init():893] starting backend
2025-06-12 11:59:53,779 INFO    MainThread:16113 [wandb_init.py:init():897] sending inform_init request
2025-06-12 11:59:53,813 INFO    MainThread:16113 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-06-12 11:59:53,813 INFO    MainThread:16113 [wandb_init.py:init():907] backend started and connected
2025-06-12 11:59:53,820 INFO    MainThread:16113 [wandb_init.py:init():1005] updated telemetry
2025-06-12 11:59:53,853 INFO    MainThread:16113 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
